date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:57	2201/2201	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Aug%202021%2021:21:55%20GMT	http://tabi.pl/robots.txt		(from )
21:21:57	23040/23040	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:21:56%20GMT	http://tabi.pl/	tabi.pl/index.html	(from )
21:21:59	72174/72174	---MCZ	200	added ('OK')	application/javascript	etag:W/%22119ee-488ac116dbec0%22	http://tabi.pl/site_media/js/site/jquery-1.4.2.min.js	tabi.pl/site_media/js/site/jquery-1.4.2.min.js	(from http://tabi.pl/)
21:21:59	557/557	---MCZ	200	added ('OK')	text/css	etag:W/%2222d-489b2993df0c0%22	http://tabi.pl/site_media/css/fontface.css	tabi.pl/site_media/css/fontface.css	(from http://tabi.pl/)
21:21:59	67804/67804	---MCZ	200	added ('OK')	text/css	etag:W/%22108dc-4db2d4d231a40%22	http://tabi.pl/site_media/css/screen.css	tabi.pl/site_media/css/screen.css	(from http://tabi.pl/)
21:22:00	526/526	---MCZ	200	added ('OK')	application/javascript	etag:W/%2220e-488ac116dbec0%22	http://tabi.pl/site_media/js/site/common.js	tabi.pl/site_media/js/site/common.js	(from http://tabi.pl/)
21:22:01	1406/1406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2257e-4899c9ce501c0%22	http://tabi.pl/site_media/images/site/favicon.ico	tabi.pl/site_media/images/site/favicon.ico	(from http://tabi.pl/)
21:22:02	429/429	---M--	200	added ('OK')	image/png	etag:%221ad-4899c9ce501c0%22	http://tabi.pl/site_media/images/site/favicon.png	tabi.pl/site_media/images/site/favicon.png	(from http://tabi.pl/)
21:22:03	4991/4991	---MCZ	200	added ('OK')	text/css	etag:W/%22137f-488ac116dbec0%22	http://tabi.pl/site_media/js/site/colorbox/colorbox.css	tabi.pl/site_media/js/site/colorbox/colorbox.css	(from http://tabi.pl/)
21:22:04	8762/8762	---MCZ	200	added ('OK')	application/javascript	etag:W/%22223a-488ac116dbec0%22	http://tabi.pl/site_media/js/site/colorbox/jquery.colorbox-min.js	tabi.pl/site_media/js/site/colorbox/jquery.colorbox-min.js	(from http://tabi.pl/)
21:22:05	2320/2320	---MCZ	200	added ('OK')	application/javascript	etag:W/%22910-4daa281dacd40%22	http://tabi.pl/site_media/js/site/jquery.cookie.js	tabi.pl/site_media/js/site/jquery.cookie.js	(from http://tabi.pl/)
21:22:06	25442/25442	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:06%20GMT	http://tabi.pl/polityka-prywatnosci-serwisu-wwwtabipl/0,-hj,1	tabi.pl/polityka-prywatnosci-serwisu-wwwtabipl/0,-hj,1.html	(from http://tabi.pl/)
21:22:07	2043/2043	---M--	200	added ('OK')	image/png	etag:%227fb-488ac116dbec0%22	http://tabi.pl/site_media/images/site/tabi.png	tabi.pl/site_media/images/site/tabi.png	(from http://tabi.pl/)
21:22:08	14800/14800	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:08%20GMT	http://tabi.pl/kontakt/0,-3f,1	tabi.pl/kontakt/0,-3f,1.html	(from http://tabi.pl/)
21:22:09	23927/23927	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:09%20GMT	http://tabi.pl/o-nas/o-nas/0,-10,1,32	tabi.pl/o-nas/o-nas/0,-10,1,32.html	(from http://tabi.pl/)
21:22:10	17649/17649	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:10%20GMT	http://tabi.pl/aktualne-oferty/aktualne-oferty/0,-v,0,54	tabi.pl/aktualne-oferty/aktualne-oferty/0,-v,0,54.html	(from http://tabi.pl/)
21:22:12	21944/21944	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:11%20GMT	http://tabi.pl/nasze-inwestycje/nasze-inwestycje/0,-y,0,94	tabi.pl/nasze-inwestycje/nasze-inwestycje/0,-y,0,94.html	(from http://tabi.pl/)
21:22:12	17565/17565	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:12%20GMT	http://tabi.pl/warunki-najmu/warunki-najmu/0,-3d,1,33	tabi.pl/warunki-najmu/warunki-najmu/0,-3d,1,33.html	(from http://tabi.pl/)
21:22:13	20054/20054	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:13%20GMT	http://tabi.pl/legionowo/legionowo/0,-4s,1,51	tabi.pl/legionowo/legionowo/0,-4s,1,51.html	(from http://tabi.pl/)
21:22:15	23926/23926	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:14%20GMT	http://tabi.pl/galerie/galerie/0,-1,2,41	tabi.pl/galerie/galerie/0,-1,2,41.html	(from http://tabi.pl/)
21:22:15	24210/24210	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:15%20GMT	http://tabi.pl/nasi-klienci/nasi-klienci/0,-3k,1,31	tabi.pl/nasi-klienci/nasi-klienci/0,-3k,1,31.html	(from http://tabi.pl/)
21:22:16	23918/23918	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:16%20GMT	http://tabi.pl/o-nas/0,-10,1	tabi.pl/o-nas/0,-10,1.html	(from http://tabi.pl/)
21:22:17	15611/15611	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:17%20GMT	http://tabi.pl/aktualne-oferty/oferty-najmu-lokali-handlowo-uslugowych/oferty-najmu-lokali-handlowo-uslugowych/0,-11,0,83	tabi.pl/aktualne-oferty/oferty-najmu-lokali-handlowo-uslugowych/oferty-najmu-lokali-handlowo-uslugowych/0,-11,0,83.html	(from http://tabi.pl/)
21:22:18	22355/22355	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:18%20GMT	http://tabi.pl/aktualne-oferty/oferty-najmu-lokali-biurowych/oferty-najmu-lokali-biurowych/0,-16,0,132	tabi.pl/aktualne-oferty/oferty-najmu-lokali-biurowych/oferty-najmu-lokali-biurowych/0,-16,0,132.html	(from http://tabi.pl/)
21:22:19	15546/15546	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:19%20GMT	http://tabi.pl/aktualne-oferty/oferty-najmu-lokali-mieszkalnych/oferty-najmu-lokali-mieszkalnych/0,-13,0,82	tabi.pl/aktualne-oferty/oferty-najmu-lokali-mieszkalnych/oferty-najmu-lokali-mieszkalnych/0,-13,0,82.html	(from http://tabi.pl/)
21:22:20	20700/20700	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:20%20GMT	http://tabi.pl/jagiellonska-11b/0,-9t,1	tabi.pl/jagiellonska-11b/0,-9t,1.html	(from http://tabi.pl/)
21:22:21	20336/20336	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:21%20GMT	http://tabi.pl/pilsudskiego-13/0,-4f,1	tabi.pl/pilsudskiego-13/0,-4f,1.html	(from http://tabi.pl/)
21:22:23	19553/19553	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:22%20GMT	http://tabi.pl/rynek-14/0,-4g,1	tabi.pl/rynek-14/0,-4g,1.html	(from http://tabi.pl/)
21:22:23	20069/20069	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:23%20GMT	http://tabi.pl/sienkiewicza-10/0,-4h,1	tabi.pl/sienkiewicza-10/0,-4h,1.html	(from http://tabi.pl/)
21:22:24	15939/15939	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:22:24%20GMT	http://tabi.pl/sienkiewicza-13/0,-9u,1	tabi.pl/sienkiewicza-13/0,-9u,1.html	(from http://tabi.pl/)
21:22:25	15417/15417	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c39-488ac116dbec0%22	http://tabi.pl/site_media/js/site/jcarousel/jquery.jcarousel.min.js	tabi.pl/site_media/js/site/jcarousel/jquery.jcarousel.min.js	(from http://tabi.pl/)
21:22:26	3182/3182	---MCZ	200	added ('OK')	text/css	etag:W/%22c6e-48999e92ec280%22	http://tabi.pl/site_media/js/site/jcarousel/skins/tango/skin.css	tabi.pl/site_media/js/site/jcarousel/skins/tango/skin.css	(from http://tabi.pl/)
21:22:31	5533/5533	---M--	200	added ('OK')	image/jpeg	etag:%22159d-4894e323aa080%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_front-4.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_front-4.jpg	(from http://tabi.pl/)
21:22:35	5522/5522	---M--	200	added ('OK')	image/jpeg	etag:%221592-4894e34416d00%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_front-5476926.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_front-5476926.jpg	(from http://tabi.pl/)
21:22:38	4320/4320	---M--	200	added ('OK')	image/jpeg	etag:%2210e0-4894e52a76880%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_front-7.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_front-7.jpg	(from http://tabi.pl/)
21:22:45	146758/146758	---M--	200	added ('OK')	image/jpeg	etag:%2223d46-4894e323aa080%22	http://tabi.pl/site_media/storage/images/2010-06/front-4.jpg	tabi.pl/site_media/storage/images/2010-06/front-4.jpg	(from http://tabi.pl/)
21:22:48	5105/5105	---M--	200	added ('OK')	image/jpeg	etag:%2213f1-4894e5509c280%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_front-10.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_front-10.jpg	(from http://tabi.pl/)
21:23:00	165987/165987	---M--	200	added ('OK')	image/jpeg	etag:%2228863-4894e34416d00%22	http://tabi.pl/site_media/storage/images/2010-06/front-5106303.jpg	tabi.pl/site_media/storage/images/2010-06/front-5106303.jpg	(from http://tabi.pl/)
21:23:00	140781/140781	---M--	200	added ('OK')	image/jpeg	etag:%22225ed-4894e52a76880%22	http://tabi.pl/site_media/storage/images/2010-06/front-7.jpg	tabi.pl/site_media/storage/images/2010-06/front-7.jpg	(from http://tabi.pl/)
21:23:03	5579/5579	---M--	200	added ('OK')	image/jpeg	etag:%2215cb-489846ef3c340%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_front-1247518.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_front-1247518.jpg	(from http://tabi.pl/)
21:23:06	6075/6075	---M--	200	added ('OK')	image/jpeg	etag:%2217bb-4898476a42580%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_front-2946671.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_front-2946671.jpg	(from http://tabi.pl/)
21:23:07	160812/160812	---M--	200	added ('OK')	image/jpeg	etag:%222742c-4894e5509c280%22	http://tabi.pl/site_media/storage/images/2010-06/front-10.jpg	tabi.pl/site_media/storage/images/2010-06/front-10.jpg	(from http://tabi.pl/)
21:23:10	4699/4699	---M--	200	added ('OK')	image/jpeg	etag:%22125b-489848c659ac0%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_widok-1756636.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_widok-1756636.jpg	(from http://tabi.pl/)
21:23:15	150367/150367	---M--	200	added ('OK')	image/jpeg	etag:%2224b5f-489846ef3c340%22	http://tabi.pl/site_media/storage/images/2010-06/front-1992332.jpg	tabi.pl/site_media/storage/images/2010-06/front-1992332.jpg	(from http://tabi.pl/)
21:23:18	5872/5872	---M--	200	added ('OK')	image/jpeg	etag:%2216f0-489849c312f00%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_rynek-1.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_rynek-1.jpg	(from http://tabi.pl/)
21:23:25	133328/133328	---M--	200	added ('OK')	image/jpeg	etag:%22208d0-4898476a42580%22	http://tabi.pl/site_media/storage/images/2010-06/front-2748961.jpg	tabi.pl/site_media/storage/images/2010-06/front-2748961.jpg	(from http://tabi.pl/)
21:23:28	5179/5179	---M--	200	added ('OK')	image/jpeg	etag:%22143b-48984a5408500%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_rynek-3.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_rynek-3.jpg	(from http://tabi.pl/)
21:23:29	130338/130338	---M--	200	added ('OK')	image/jpeg	etag:%221fd22-489848c659ac0%22	http://tabi.pl/site_media/storage/images/2010-06/widok-1233715.jpg	tabi.pl/site_media/storage/images/2010-06/widok-1233715.jpg	(from http://tabi.pl/)
21:23:32	5548/5548	---M--	200	added ('OK')	image/jpeg	etag:%2215ac-48984a93edbc0%22	http://tabi.pl/site_media/storage/images/2010-06/thumb_rynek-6.jpg	tabi.pl/site_media/storage/images/2010-06/thumb_rynek-6.jpg	(from http://tabi.pl/)
21:23:33	129638/129638	---M--	200	added ('OK')	image/jpeg	etag:%221fa66-489849c312f00%22	http://tabi.pl/site_media/storage/images/2010-06/rynek-1.jpg	tabi.pl/site_media/storage/images/2010-06/rynek-1.jpg	(from http://tabi.pl/)
21:23:38	5087/5087	---M--	200	added ('OK')	image/jpeg	etag:%2213df-48d051ce58780%22	http://tabi.pl/site_media/storage/images/2010-08/thumb_dsc00132611090.jpg	tabi.pl/site_media/storage/images/2010-08/thumb_dsc00132611090.jpg	(from http://tabi.pl/)
21:23:45	139857/139857	---M--	200	added ('OK')	image/jpeg	etag:%2222251-48984a5408500%22	http://tabi.pl/site_media/storage/images/2010-06/rynek-3.jpg	tabi.pl/site_media/storage/images/2010-06/rynek-3.jpg	(from http://tabi.pl/)
21:23:48	4480/4480	---M--	200	added ('OK')	image/jpeg	etag:%221180-48d05200e3ec0%22	http://tabi.pl/site_media/storage/images/2010-08/thumb_dsc00136276255.jpg	tabi.pl/site_media/storage/images/2010-08/thumb_dsc00136276255.jpg	(from http://tabi.pl/)
21:23:49	110008/110008	---M--	200	added ('OK')	image/jpeg	etag:%221adb8-48984a93edbc0%22	http://tabi.pl/site_media/storage/images/2010-06/rynek-6.jpg	tabi.pl/site_media/storage/images/2010-06/rynek-6.jpg	(from http://tabi.pl/)
21:23:54	4808/4808	---M--	200	added ('OK')	image/jpeg	etag:%2212c8-48d0526d9bf40%22	http://tabi.pl/site_media/storage/images/2010-08/thumb_dsc00140891367.jpg	tabi.pl/site_media/storage/images/2010-08/thumb_dsc00140891367.jpg	(from http://tabi.pl/)
21:34:13	3838200/3838200	---M--	200	added ('OK')	image/jpeg	etag:%223a90f8-48d0526abf880%22	http://tabi.pl/site_media/storage/images/2010-08/dsc00140147513.jpg	tabi.pl/site_media/storage/images/2010-08/dsc00140147513.jpg	(from http://tabi.pl/)
21:34:17	6291/6291	---M--	200	added ('OK')	image/jpeg	etag:%221893-48d052b42e5c0%22	http://tabi.pl/site_media/storage/images/2010-08/thumb_dsc00142793991.jpg	tabi.pl/site_media/storage/images/2010-08/thumb_dsc00142793991.jpg	(from http://tabi.pl/)
21:35:19	4283088/4283088	---M--	200	added ('OK')	image/jpeg	etag:%22415ad0-48d051fefba40%22	http://tabi.pl/site_media/storage/images/2010-08/dsc00136547188.jpg	tabi.pl/site_media/storage/images/2010-08/dsc00136547188.jpg	(from http://tabi.pl/)
21:35:22	4688/4688	---M--	200	added ('OK')	image/jpeg	etag:%221250-48d053470c040%22	http://tabi.pl/site_media/storage/images/2010-08/thumb_dsc00145397587.jpg	tabi.pl/site_media/storage/images/2010-08/thumb_dsc00145397587.jpg	(from http://tabi.pl/)
21:35:44	4466926/4466926	---M--	200	added ('OK')	image/jpeg	etag:%224428ee-48d051cc70300%22	http://tabi.pl/site_media/storage/images/2010-08/dsc00132316458.jpg	tabi.pl/site_media/storage/images/2010-08/dsc00132316458.jpg	(from http://tabi.pl/)
21:35:46	5182/5182	---M--	200	added ('OK')	image/jpeg	etag:%22143e-48d0538ac2000%22	http://tabi.pl/site_media/storage/images/2010-08/thumb_dsc00147241042.jpg	tabi.pl/site_media/storage/images/2010-08/thumb_dsc00147241042.jpg	(from http://tabi.pl/)
21:35:49	17556/17556	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:35:46%20GMT	http://tabi.pl/warunki-najmu/0,-3d,1	tabi.pl/warunki-najmu/0,-3d,1.html	(from http://tabi.pl/)
21:36:10	103582/103582	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%221949e-48a541e1dd480%22	http://tabi.pl/site_media/storage/files/2010-07/tabi_mapa_boks.swf	tabi.pl/site_media/storage/files/2010-07/tabi_mapa_boks.swf	(from http://tabi.pl/)
21:36:14	4519019/4519019	---M--	200	added ('OK')	image/jpeg	etag:%2244f46b-48d052b246140%22	http://tabi.pl/site_media/storage/images/2010-08/dsc00142853067.jpg	tabi.pl/site_media/storage/images/2010-08/dsc00142853067.jpg	(from http://tabi.pl/)
